tag	current_zh	ja	en	post_count
rokudenashi_majutsu_koushi_to_akashic_record	不正经的魔术讲师与禁忌教典	ロクでなし魔術講師と禁忌教典	Rokudenashi Majutsu Koushi To Akashic Record	361
romance_of_the_three_kingdoms	三国演义	三国志	Romance of The Three Kingdoms	162
romance_of_the_three_kingdoms_(2008-2010_anime)	最强武将传三国演义	最強武将伝三国演義	Romance Of The Three Kingdoms (2008-2010 Anime)	1
romance_of_the_three_kingdoms_(game)	三国志（光荣游戏）	三国志	Romance Of The Three Kingdoms (Game)	43
romance_of_the_three_kingdoms_(tv_series)	三国演义（电视剧）	三国志演義(テレビドラマ)	Romance Of The Three Kingdoms (tv Series)	1
romantic_saga_of_beauty_&_devil	姬魔恋战纪	姬魔恋戦紀	Romantic Saga of Beauty & Devil	86
rondo_duo	轮舞曲Duo	輪舞曲Duo	Rondo Duo	16
room_201	201号室	201号室	Room 201	13
roots_search:_shokushin_buttai_x	食心物体X	ルーツ・サーチ	Roots Search: Shokushin Buttai X	1
rose_n'_siren_eyes	玫瑰瞳铃眼	玫瑰瞳鈴眼	Rose N' Siren Eyes	2
roshin_yuukai_(vocaloid)	炉心融解	炉心融解	Roshin Yuukai	448
roshutsu-kei_mahou_shoujo	露出系魔法少女	露出系魔法少女	Naked Magical Girl	90
roujin_z	老人Z	老人Z	Roujin Z	8
roxana_(series)	守护女主人公哥哥的方法	守護女主角哥哥的方法	Roxana (series)	6
rozen_maiden	蔷薇少女	ローゼンメイデン	Rozen Maiden	11286
rpg_fudousan	RPG不动产	RPG不動産	Rpg Fudousan	58
ruirui_senki	累累战记	累々戦記	Shadow Eliminators	2
rujing_yingxuan	如璟映琁	如璟映琁	Rujing Yingxuan	41
rune_factory	符文工厂	ルーンファクトリー	Rune Factory	2600
rurouni_kenshin	浪客剑心	るろうに剣心	Rurouni Kenshin	1022
rustic_period	野人时代	野人時代	Rustic Period	7
ruten_kousoku_(utau)	流转光速	流転光速	Ruten Kousoku (Utau)	5
rwby:_ice_queendom	RWBY冰雪帝国	RWBY氷雪帝国	Rwby: Ice Queendom	63
ryman's_club	白领羽球部	リーマンズクラブ	Ryman's Club	74
ryokunohara_rabirinsu	绿野原迷宫	緑野原迷宮	Ryokunohara Rabirinsu	2
ryou_seibai!_~gakuen_bishoujo_seisai_hiroku~	凌成败! ~学园美少女制裁秘录~	凌成敗! ~学園美少女制裁秘録~	Ryou Seibai! Gakuen Bishoujo Seisai Hiroku	2
ryouran_sangoku_engi	缭乱三国演义	繚乱三国演義	Ryouran Sangoku Engi	2
ryuu_ga_gotoku_(series)	如龙	龍が如く	Ryuu Ga Gotoku (series)	2269
ryuu_seiki	龙世纪	竜世紀	Ryuu Seiki	5
ryuuha_mikaido	流派未阶堂	流派未階堂	Ryuuha Mikaido	6
ryuuha_mikakutei	流派未确定	流派未確定	Ryuuha Mikakutei	2
ryuuketsu_megamiden	流血女神传	流血女神伝	Ryuuketsu Megamiden	1
ryuuko_no_ken	龙虎之拳	龍虎の拳	Art Of Fighting	1476
ryuukyuu_kani_tanbou	琉球蟹探访	琉球蟹探訪	Ryuukyuu Kani Tanbou	2
ryuuou_no_oshigoto!	龙王的工作！	りゅうおうのおしごと!	The Ryuo's Work Is Never Done!	2098
"s-kyuu_gakuen_no_jishou_""futsuu""_kawaisugiru_kanojotachi_ni_guigui_korarete_barebare_desu."	S级学园	S級学園の自称「普通」、可愛すぎる彼女たちにグイグイ来られてバレバレです。	S Kyuu Gakuen No Jishou Futsuu Kawaisugiru Kanojotachi Ni Guigui Korarete Barebare Desu	12
sa_ye	撒野	撒野	Sa Ye	11
sadako_vs._kayako	贞子vs伽椰子	貞子vs伽椰子	Sadako Vs. Kayako	17
saenai_heroine_no_sodatekata	路人女主的养成方法	冴えない彼女の育てかた	Saenai Heroine No Sodatekata	2584
saga	沙加	サガシリーズ	Saga	2375
sagawa_express	佐川急便	佐川急便	Sagawa Express	69
saibai_shounen	栽培少年	栽培少年	Mandrake Boys	114
saibou_shinkyoku	细胞神曲	細胞神曲	Cell of Empireo	14001
saihate_eki	终焉车站	さいはて駅	Saihate Station	651
saijaku_tamer_wa_gomi_hiroi_no_tabi_wo_hajimemashita	最弱的驯养师开启的捡垃圾的旅途	最弱テイマーはゴミ拾いの旅を始めました	Weakest Tamer	55
saiki_kusuo_no_psi_nan	齐木楠雄的灾难	斉木楠雄のΨ難	Saiki Kusuo No Psi-nan	318
saikin_osen_(vocaloid)	细菌污染	細菌汚染	bacterial_contamination	68
saikou_nando_meikyuu_de_party_ni_okizari_ni_sareta_s-rank_kenshi_hontou_ni_mayoi_makutte_daremo_shiranai_saishinbu_e_ore_no_kan_dato_tabun_kocchi_ga_deguchi_dato_omou	最高难度迷宫	最高難度迷宮	My Blade Will Lead The Way Abandoned In A Labyrinth As A Directionally Challenged S-Rank Swordsman	3
saikyou_densetsu_kurosawa	最强传说黑泽	最強伝説黒沢	Saikyou Densetsu Kurosawa	32
saikyou_ginga_ultimate_zero_~battle_spirits~	最强银河究极zero	最強銀河究極ゼロ~バトルスピリッツ~	Saikyou Ginga Ultimate Zero ~Battle Spirits~	142
sailing_era	风帆纪元	風帆紀元	Sailing Era	2
sailor_ribbon	水手缎带	水手緞帯	Sailor Ribbon	1
saimin_datsujo_4	催眠夺女4	催眠奪女4	Saimin Datsujo 4	7
saimin_enbu	催眠演舞	催眠演舞	Saimin Enbu	30
