tag	current_zh	ja	en	series	post_count
edmond_(nu_carnival)	艾德蒙特	エドモンド	Edmond	新世界狂欢	357
edmond_dantes_(fate)	埃德蒙·唐泰斯	エドモン・ダンテス（Fate）	Edmond Dantes		1499
edogawa_conan	江户川柯南	江戸川コナン	Edogawa Conan		1276
edward_newgate	爱德华·纽盖特	エドワード・ニューゲート	Edward Newgate		300
edward_teach_(fate)	爱迪·萨奇	エドワード・ティーチ	Edward Teach		471
egawa_kusumi	江川樟美	江川樟美	Egawa Kusumi		326
eiai_nano	荣逢凪乃	栄逢凪乃	Eiai Nano		291
eiden_(nu_carnival)	伊得	エイト	Eiden	新世界狂欢	800
eimi_(blue_archive)	和泉元艾米	和泉元エイミ	Eimi	碧蓝档案	2423
ein_(blue_archive)	艾茵	アイン（ブルーアーカイブ）	Ein	碧蓝档案	1004
eirika_(fire_emblem)	艾丽卡	エイリーク	Eirika	火焰纹章	1380
eishin_flash_(meisterschaft)_(umamusume)	荣进闪耀（meisterschaft）		Eishin Flash (meisterschaft)	闪耀!优俊少女	1117
eishin_flash_(umamusume)	荣进闪耀	エイシンフラッシュ（ウマ娘プリティーダービー）	Eishin Flash	闪耀!优俊少女	3329
el_condor_pasa_(umamusume)	神鹰（闪耀！优俊少女）	エルコンドルパサー（ウマ娘プリティーダービー）	El Condor Pasa	闪耀!优俊少女	1651
elaina_(majo_no_tabitabi)	伊蕾娜	イレイナ	Elaina	魔女之旅	1767
elan_ceres	伊兰·凯莱斯	エラン・ケレス	Elan Ceres		574
elbe_(azur_lane)	易北	エルベ	Elbe	碧蓝航线	394
eldridge_(azur_lane)	埃尔德里奇（碧蓝航线）	エルドリッジ(アズールレーン)	Eldridge	碧蓝航线	724
elegg_(nikke)	伊莱格	エレグ	Elegg		2527
elesa_(pokemon)	小菊儿	カミツレ	Elesa	宝可梦	2249
elira_pendora	艾莉拉	エリーラ・ペンドラ	Elira Pendora		2510
elise_(fire_emblem)	艾丽丝	エリーゼ(FEif)	Elise	火焰纹章	1392
elizabeth_bathory_(fate)	伊丽莎白·巴托里	エリザベート・バートリー	Elizabeth Bathory		3478
ellen_joe	艾莲·乔	エレン・ジョー	Ellen Joe		9471
elphelt_valentine	艾尔菲尔特·瓦伦丁	エルフェルト=ヴァレンタイン	Elphelt Valentine		2139
elsa_(frozen)	艾莎	エルサ	Elsa		1815
elysia_(honkai_impact)	爱莉希雅	エリシア（honkai impact）	Elysia		13371
elysia_(lunar_grace)_(honkai_impact)	霁月婵娟	霽月嬋娟	Elysia (lunar Grace)		348
elysia_(miss_pink)_(honkai_impact)	粉色甜心小姐♪	粉色甜心小姐♪	Elysia (miss Pink)		907
elysia_(peachy_spring)_(honkai_impact)	春好桃夭	春好桃夭	Elysia (peachy Spring)		440
elysia_(summer_miss_elf)_(honkai_impact)	夏日妖精小姐♪	夏の妖精さん♪	Elysia (summer Miss Elf)		568
elysium_(arknights)	极境	エリジウム	Elysium	明日方舟	421
ema_skye	宝月茜	宝月茜	Ema Skye		610
emet-selch	爱梅特赛尔克	エメトセルク	Emet-selch		807
emilia_(re:zero)	爱蜜莉雅	エミリア（Re:从零开始的异世界生活）	Emilia		5191
emilie_(genshin_impact)	艾梅莉埃	艾梅莉埃	Emilie	原神	296
emiya_kiritsugu	卫宫切嗣	衛宮切嗣	Emiya Kiritsugu		2903
emma_(nikke)	艾玛（胜利女神：妮姬）	エマ(勝利の女神:NIKKE)	Emma		373
emma_(yakusoku_no_neverland)	岛艾玛	エマ(約ネバ)	Emma	约定的梦幻岛	460
emma_frost	艾玛·弗斯特	エマ・フロスト	Emma Frost		1250
emolga	电飞鼠	エモンガ	Emolga		1086
emori_miku	绘守未来	絵守未來	Emori Miku		320
emperor_(arknights)	大帝	エンペラー	Emperor	明日方舟	505
emperor_of_mankind	人类帝皇	帝皇	Emperor Of Mankind		310
emperor_penguin_(kemono_friends)	帝企鹅	コウテイペンギン	Emperor Penguin		1400
encore_(wuthering_waves)	安可	アンコ	Encore	鸣潮	509
endeavor_(boku_no_hero_academia)	轰炎司	エンデヴァー	Endeavor	我的英雄学院	2460
enderman	末影人	エンダーマン	Enderman		451
endministrator_(arknights)	管理员	管理員	Endministrator	明日方舟	3435
endou_mamoru	圆堂守	円堂守	Endou Mamoru		610
enemy_aircraft_(kancolle)	敌机				1517
enjoji_jin	圆城寺仁	円城寺仁	Enjoji Jin		551
enkidu_(fate)	恩奇都	恩奇都	Enkidu		2440
enma_ai	阎魔爱	閻魔あい	Enma Ai		821
enmu_(kimetsu_no_yaiba)	魇梦	魘夢	Enmu	鬼灭之刃	281
enomoto_noa	榎本诺亚	榎本のあ	Enomoto Noa		573
enomoto_takane	遥贵	榎本貴音	Enomoto Takane		484
enraku_tsubakura	燕乐玄鸟	燕楽玄鳥	Enraku Tsubakura		950
enrico_pucci	恩里科·普奇	エンリコ・プッチ	Enrico Pucci		661
entelechia_(arknights)	隐德莱希	エンテレケイア	Entelechia	明日方舟	451
enterprise_(azur_lane)	企业（碧蓝航线）	エンタープライズ（アズールレーン）	Enterprise	碧蓝航线	2816
erdos_helia	赫丽娅	ヘリア(崩壊3rd)	Erdos Helia		310
eren_yeager	艾伦·耶格尔	エレン・イェーガー	Eren Yeager		4224
ereshkigal_(fate)	埃列什基伽勒	エレシュキガル	Ereshkigal		5624
eri_(blue_archive)	白尾绘理	白尾エリ	Eri	碧蓝档案	2292
eri_(boku_no_hero_academia)	坏理	壊理	Eri	我的英雄学院	549
erica_hartmann	艾莉卡·哈特曼	エーリカ・ハルトマン	Erica Hartmann		2792
erika_(blue_archive)	旗见绘里香	旗見エリカ	Erika	碧蓝档案	672
erika_(pokemon)	莉香	エリカ（ポケットモンスター）	Erika	宝可梦	1449
eriko_(princess_connect!)	仓石惠理子	倉石恵理子	Eriko	公主连结	622
erina_pendleton	艾莉娜·彭德尔顿	エリナ・ペンドルトン	Erina Pendleton		614
eris_greyrat	艾莉丝·格雷拉特	エリス・グレイラット	Eris Greyrat		2697
ermes_costello	艾梅斯·克斯提洛	エルメェス・コステロ	Ermes Costello		557
eruruu	艾露露	エルルゥ	Eruruu		519
erwin_(girls_und_panzer)	松本里子	グデエル	Erwin	少女与战车	796
erwin_smith	埃尔文·史密斯	エルヴィン・スミス	Erwin Smith		814
erza_scarlet	艾尔莎	エルザ・スカーレット	Erza Scarlet		1211
esdeath	艾斯德斯	エスデス	Esdeath		590
esidisi	艾西迪西	エシディシ	Esidisi		407
espeon	太阳伊布	エーフィ	Espeon		2918
espoir_city_(umamusume)	希望之城	エスポワールシチー	Espoir City	闪耀!优俊少女	338
espurr	妙喃猫	ニャスパー	Espurr		1208
essex_(azur_lane)	埃塞克斯（碧蓝航线）	エセックス（アズールレーン）	Essex	碧蓝航线	670
estella_(arknights)	埃特拉	エステーラ	Estella	明日方舟	465
estellise_sidos_heurassein	艾丝蒂尔	エステリーゼ・シデス・ヒュラッセイン	Estellise Sidos Heurassein		1208
estinien_varlineau	埃斯蒂尼安	エスティニアン	Estinien Varlineau		435
eternal_sugar_cookie	永恒砂糖饼干	エターナルシュガークッキー	Eternal Sugar Cookie		412
ethan_(arknights)	伊桑	イーサン	Ethan	明日方舟	331
etna_(disgaea)	艾特娜	エトナ（ディスガイア）	Etna		2197
