tag	current_zh	ja	en	post_count
the_amazing_world_of_gumball	阿甘妙世界	おかしなガムボール	The Amazing World of Gumball	383
the_ballad_of_the_officer	军官之歌	軍官之歌	The Ballad Of The Officer	2
the_beatles	披头士	ビートルズ	The Beatles	269
the_beauty's_blade	美人剑	美人剣	The Beauty's Blade	3
the_beginning_after_the_end	终末起点	最強の王様、二度目の人生は何をする?	The Beginning After The End	62
the_bible	圣经	聖書	The Bible	324
the_big_bang_theory	生活大爆炸	ビッグ・バン★セオリー	The Big Bang Theory	27
the_big_o	魅影巨神	THEビッグ・オー	The Big O	478
the_binding_of_isaac	以撒的结合	以撒的結合	The Binding Of Isaac	170
the_black_cannon_incident	黑砲事件	黒砲事件	The Black Cannon Incident	2
the_boondock_saints	处刑人	処刑人	The Boondock Saints	7
the_broken_code	破灭守则	破滅守則	The Broken Code	4
the_brothers_karamazov	卡拉马佐夫兄弟	カラマーゾフの兄弟	The Brothers Karamazov	21
the_bugle_call:_song_of_war	战奏教室	戦奏教室	The Bugle Call Song Of War	4
the_caves_of_steel	钢铁都市	こうてつとし	The Caves Of Steel	150
the_cockpit:_sonic_boom_squadron	音速雷击队	音速雷撃隊	The Cockpit: Sonic Boom Squadron	3
the_coffin_of_andy_and_leyley	安迪和莉莉的棺材	アンディとレイレイの棺	The Coffin of Andy and Leyley	1629
the_conjuring	死灵馆	死霊館	The Conjuring	6
the_distortion_detective	扭曲侦探	ねじれ探偵	Distortion Detective	311
the_doomsday_protector	末日保护者	末日保護者	The Doomsday Protector	7
the_earth_is_online	地球上线	地球上線	The Earth Is Online	1
the_elder_scrolls	上古卷轴	ザ・エルダー・スクロールズ	The Elder Scrolls	1497
the_end_has_come_(webtoon)	末日来袭	終焉がやってきた	The End Has Come (Webtoon)	5
the_evil_within	恶灵附身	サイコブレイク	The Evil Within	298
the_exit_8	8号出口	8番出口	The Exit 8	257
the_fairly_oddparents	反斗家族	Oops!フェアリーペアレンツ	The Fairly OddParents	291
the_fallen_angels	堕落天使	堕落天使	The Fallen Angels	1
the_fantasie_of_a_stepmother	某个继母的童话	ある継母のメルヘン	The Fantasie Of A Stepmother	14
the_festival_(lovecraft)	魔宴	魔宴	The Festival	1
the_fire_rises	烈焰升腾	烈焔升騰	THE FIRE RISES	62
the_first_night_with_the_duke	我夺走了公爵的第一次	我奪走了公爵的第一次	The First Night with the Duke	2
the_fugitive_(1993)	逃亡者（映画）	逃亡者(映画)	The Fugitive	2
the_furious_yama	大王不高兴	大王不高興	The Furious Yama	2
the_garden_of_sinners_(touhou)	东方霸天港	東方覇天港	The Garden Of Sinners (Touhou)	7
the_genius_of_sappheiros	东方苍神缘起	東方蒼神縁起	The Genius Of Sappheiros	1
the_gold_rush	黄金狂时代	黄金狂時代	The Gold Rush	2
the_grandmaster	一代宗师	一代宗師	The Grandmaster	1
the_great_ace_attorney	大逆转裁判	大逆転裁判	The Great Ace Attorney	1511
the_great_ace_attorney_2:_resolve	大逆转裁判2	大逆転裁判2	The Great Ace Attorney 2: Resolve	243
the_great_escape	大脱走	大脱走	The Great Escape	4
the_great_villainess_strategy_of_lily	大恶人千金	大悪逆令嬢	The Great Villainess Strategy Of Lily	43
the_great_warrior_wall	巨兵长城传	巨兵長城伝	The Great Warrior Wall	10
the_greatest_estate_developer	史诗级领地设计师	史詩級領地設計師	The Greatest Estate Developer	6
the_grudge	咒怨	呪怨	The Grudge	72
the_hobbit	霍比特人	ホビットの冒険	The Hobbit	167
the_human_centipede	人体蜈蚣	ムカデ人間	The Human Centipede	30
the_hundred_line_-last_defense_academy-	百日战纪-最终防卫学园-	HUNDRED_LINE_-最終防衛学園-	The Hundred Line -Last Defense Academy-	8317
the_hungry_lamb:_traveling_in_the_late_ming_dynasty	饿殍：明末千里行	飢えた子羊	The Hungry Lamb: Traveling in the Late Ming Dynasty	68
the_king_of_fighters	拳皇	拳皇	The King Of Fighters	16766
the_king_of_fighters:_destiny	拳皇命运	拳皇命运	The King Of Fighters: Destiny	4
the_king_of_fighters:_kyo	KOF京	KOF京	The King Of Fighters: Kyo	9
the_king_of_fighters_'98_ultimate_match_online	拳皇'98:终极之战OL	拳皇'98:終極之戰OL	KOF98UMOL	2
