tag	current_zh	ja	en	series	post_count
irelia_(league)	艾瑞莉娅	イレリア	Irelia		528
irene_(the_adjudicatrix_and_her_resolve)_(arknights)	至高判决	至高判決	Irene (the Adjudicatrix And Her Resolve)	明日方舟	355
irene_(voyage_of_feathers)_(arknights)	飞羽	飛羽	Irene (voyage Of Feathers)	明日方舟	366
irida_(pokemon)	卡伊	カイ（ポケットモンスター）	Irida	宝可梦	2218
iris_(pokemon)	艾莉丝（宝可梦）	アイリス（ポケットモンスター）	Iris	宝可梦	1859
irisviel_von_einzbern	伊莉雅斯菲尔·冯·爱因兹贝伦	アイリスフィール・フォン・アインツベルン	Irisviel Von Einzbern		2208
iroha_(blue_archive)	枣伊吕波	棗イロハ	Iroha	碧蓝档案	4375
iroha_(samurai_spirits)	伊吕波	いろは	Iroha		1198
irys_(casualrys)_(hololive)	IRyS(私服衣装)	IRyS(私服)	Irys (casualrys)		439
irys_(irys_1.0)_(hololive)	IRyS(旧衣装)	アイリス(旧衣装)	Irys (irys 1.0)		645
irys_(irys_2.0)_(hololive)	IRyS(通常)	アイリス(通常)	Irys (irys 2.0)		921
isabelle_(animal_crossing)	西施惠	しずえ	Isabelle	集合啦!动物森友会	1610
isagi_yoichi	洁世一	潔世一	Isagi Yoichi		838
isaki_riona	响咲莉欧娜	響咲リオナ	Isaki Riona		409
isara_mao	衣更真绪	衣更真緒	Isara Mao		750
isayama_mami	諌山真实	諌山真実	Isayama Mami		298
isayama_yomi	谏山黄泉	諫山黄泉	Isayama Yomi		332
ise_(kancolle)	伊势	伊勢（舰队Collection）	Ise		2173
isekaijoucho	异世界情绪	ヰ世界情緒	Isekaijoucho		2918
ishida_mitsunari_(sengoku_basara)	石田三成（战国BASARA）	石田三成(戦国BASARA)	Ishida Mitsunari	战国BASARA	319
ishida_uryuu	石田雨龙	石田雨竜	Ishida Uryuu		283
ishigami_senkuu	石神千空	石神千空	Ishigami Senkuu		670
ishikawa_luna	石川月菜	石川月菜	Ishikawa Luna		343
ishikirimaru	石切丸（刀剑乱舞）	石切丸	Ishikirimaru		294
ishimaru_kiyotaka	石丸清多夏	石丸清多夏	Ishimaru Kiyotaka		660
ishmael_(project_moon)	以实玛利	イシュメール	Ishmael	月亮计划	6359
ishtar_(fate)	伊什塔尔	イシュタル（Fate）	Ishtar		5323
iskandar_(fate)	伊斯坎达尔	イスカンダル	Iskandar		3409
isobe_noriko	矶边典子	磯辺典子	Isobe Noriko		901
isoi_haruki	矶井晴己	磯井晴己	Isoi Haruki		625
isoi_reiji	矶井丽慈	磯井麗慈	Isoi Reiji		1706
isokaze_(azur_lane)	矶风（碧蓝航线）	磯風（アズールレーン）	Isokaze	碧蓝航线	305
isokaze_(kancolle)	矶风（舰队Collection）	磯風（舰队Collection）	Isokaze		2862
isolated_island_oni	离岛栖鬼	離島棲鬼	Isolated Island Oni		711
isolde_(reverse:1999)	伊索尔德	イゾルデ（リバース1999）	Isolde	重返未来1999	1266
isonami_(kancolle)	矶波	磯波	Isonami		1700
isshiki_iroha	一色彩羽	一色いろは	Isshiki Iroha		1303
istina_(arknights)	真理（明日方舟）	真理（アークナイツ）	Istina	明日方舟	584
isurugi_futaba	石动双叶	ふたかお	Isurugi Futaba		330
isuzu_(kancolle)	五十铃（舰队Collection）	五十鈴（舰队Collection）	Isuzu		1766
isuzu_kai_ni_(kancolle)	五十铃改二	五十鈴改二	Isuzu Kai Ni		447
itadori_yuji	虎杖悠仁	虎杖悠仁	Itadori Yuji		4372
itoshi_rin	丝师凛	糸師凜	Itoshi Rin		347
itoshiki_nozomu	丝色望	糸色望	Itoshiki Nozomu		774
itou_chika	伊藤千佳	伊藤千佳	Itou Chika		584
itou_kaiji	伊藤开司	伊藤開司	Itou Kaiji		972
itou_shinji_(chaos;child)	伊藤真二	伊藤真二	Itou Shinji		287
itsuka_kotori	五河琴里	五河琴裏	Itsuka Kotori		700
itsuka_shido	五河士道	五河士道	Itsuka Shido		287
itsuki_shu	斋宫宗	斎宮宗	Itsuki Shu		880
itsumi_erika	逸见艾丽卡	逸見エリカ	Itsumi Erika		6282
itzpapa_(genshin_impact)	伊兹帕帕	黒曜星魔	Itzpapa	原神	485
iuno_(wuthering_waves)	尤诺·西比尔	ユーノ(鳴潮)	Iuno	鸣潮	2273
ivan_karelin	伊万·卡列林	イワン・カレリン	Ivan Karelin		1252
ivysaur	妙蛙草	フシギソウ	Ivysaur		1249
iwakura_lain	岩仓玲音	巌倉玲音	Iwakura Lain		1564
iwanaga_ariya	磐永阿梨夜	いわなが ありや	Iwanaga Ariya		818
iwasawa_masami	岩泽雅美	岩沢まさみ	Iwasawa Masami		475
iwatani_naofumi	岩谷尚文	巌谷尚文	Iwatani Naofumi		956
iwato_kasumi	石户霞	石戸霞	Iwato Kasumi		323
iwatooshi	岩融	巌融	Iwatooshi		413
iws_2000_(girls'_frontline)	IWS2000(少女前线)	IWS2000(ドールズフロントライン)	Iws 2000	少女前线	481
izayoi_sakuya	十六夜咲夜	十六夜咲夜	Izayoi Sakuya		53070
izumi-no-kami_kanesada	和泉守兼定	和泉守兼定	Izumi-no-kami Kanesada		1143
izumi_(blue_archive)	狮子堂泉	獅子堂イズミ	Izumi	碧蓝档案	726
izumi_konata	泉此方	泉こなた	Izumi Konata		6536
izumi_koshiro	泉光子郎	泉光子郎	Izumi Koshiro		420
izumi_sagiri	和泉纱雾	和泉紗霧	Izumi Sagiri		3011
izumi_yuki	和泉雪	和泉ユキ	Izumi Yuki		1377
izuna_(blue_archive)	久田泉奈	久田イズナ	Izuna	碧蓝档案	4439
izuna_(swimsuit)_(blue_archive)	泉奈	水着イズナ	Izuna (swimsuit)	碧蓝档案	1590
jabami_yumeko	蛇喰梦子	じゃばみゆめこ	Jabami Yumeko		483
jabuchi_you	蛇渊阳	蛇淵陽	Jabuchi You		352
jack_the_ripper_(fate/apocrypha)	开膛手杰克	ジャック・ザ・リッパー（アポクリファ）	Jack The Ripper		3676
jade_leech	杰德·利奇	ジェイド・リーチ	Jade Leech		1432
jaguar_(kemono_friends)	美洲豹	ジャガー(けものフレンズ)	Jaguar		1312
jahoda_(genshin_impact)	雅珂达	ヤフォダ	Jahoda	原神	679
jakuri_(ar_tonelico)	蛇刳	ミュール	Jakuri		353
james_(pokemon)	小次郎	コジロウ	James	宝可梦	2345
james_moriarty_(archer)_(fate)	新茶	新茶	James Moriarty (archer)		802
james_moriarty_(ruler)_(fate)	莫里亚蒂lily	ジェームズ・モリアーティ(ルーラー)	James Moriarty (ruler)		293
jane_doe_(zenless_zone_zero)	简·杜	ジェーン・ドゥ	Jane Doe	绝区零	6083
japanese_crested_ibis_(kemono_friends)	朱鹮	トキ(けものフレンズ)	Japanese Crested Ibis		1807
