tag	current_zh	ja	en	post_count
.hack//games	.hack//感染扩大	.hack//感染拡大	.hack//Games	223
.live	偶像部	ドットライブ	.LIVE	2512
1-nichi_gaishutsuroku_hanchou	班长	1日外出録ハンチョウ	1-nichi Gaishutsu Roku Hanchou	27
100%_orange_juice	橙汁	100%おれんじじゅ〜すっ!	100% Orange Juice	375
10000_kounen_sougankyou	10000光年双筒望远镜	10000光年双眼鏡	10000 Kounen Sougankyou	46
12-sai.	12岁。	12歳。	12-sai.	6
12_seiza_vtuber_kikaku	12星座VTuber企画	12星座VTuber企画	12 Seiza Vtuber Kikaku	19
15_bishoujo_hyouryuuki	15美少女漂流记	15美少女漂流記	15 Bishoujo Hyouryuuki	20
15_shoujo	十五少女	十五少女	Fifteen Voices	17
16personalities	MBTI		16Personalities	512
188_group_(series)	188男团	188男団	188 Group (series)	19
1984_(novel)	1984年（小说）	1984年(小説)	1984	55
19_tian	19天	19天	19 Days	145
1_rt_de_nakawarui_nonke_joshi-tachi_ga_1-byou_kiss_suru	1个转发让关系不好的异性恋少女们接吻1秒	1RTで仲悪いノンケ女子たちが1秒キスする	1 Rt De Nakawarui Nonke Joshi-tachi Ga 1-byou Kiss Suru	15
2-daime_enma_(synthesizer_v)	2代目阎魔	2代目閻魔	2-daime Enma (synthesizer V)	20
2000-nen_3-gatsu_9-ka_(vocaloid)	2000年3月9日	2000年3月9日	2000-nen 3-gatsu 9-ka (vocaloid)	2
2008_summer_olympics	2008年北京奥运	2008年北京奥運	2008 Summer Olympics	8
2010_(book)	2010年	2010年	2010 (book)	1
2020_summer_olympics	2020东京五轮	東京オリンピック	2020 Summer Olympics	112
2022_winter_olympics	北京冬奥会	北京オリンピック(2022年)	2022 Winter Olympics Beijing	31
20th_century_boys	20世纪少年	20世紀少年	20th Century Boys	38
21_shiji_qujing_lu	21世纪取经录	21世紀取経録	The 21st Century Buddhist Pilgrimage	8
28_days_later	28日后...	28日後...	28 Days Later	9
2_x_kanojo	2×彼女	2×彼女	Two Times Girlfriends	2
3-punkan_(cevio)	3分间	3分間	3-punkan	2
300_battles	300大作战	300大作戦	300 Battles	6
300_heroes	300英雄	300英雄	300 Heroes	81
341_sentoudan	341战斗团	341戦闘団	341 Sentoudan	8
360_safeguard	360安全卫士	360安全卫士	360 Safeguard	6
46_okunen_monogatari_haruka_naru_eden_e	46亿年物语	46億年物語	46 Okunen Monogatari Haruka Naru Eden E	2
5-sai_seijo	5岁圣女	5歳聖女	5-sai Seijo	4
5th_republic_(2005_korean_drama)	第5共和国	第五共和国	5th Republic (2005 Korean Drama)	11
