tag	current_zh	ja	en	post_count
majin_shoujo	魔神少女	魔神少女	Majin Shoujo	57
majin_tensei	魔神转生	魔神転生	Majin Tensei	6
majin_tensei_ii:_spiral_nemesis	魔神转生II	魔神転生II	Majin Tensei II: Spiral Nemesis	1
majinden	魔神传	魔神伝	Majinden	2
majo_no_ie	魔女之家	魔女の家	Majo No Ie	218
majo_no_tabitabi	魔女之旅	魔女の旅々	Majo No Tabitabi	1970
majo_no_takkyuubin	魔女宅	魔女の宅急便	Majo No Takkyuubin	1335
majodou	魔女道	魔女道~あの散り際の美しさ~	Majodou	75
majou_densetsu	魔城传说	魔城伝説	Majou Densetsu	5
makai_senki_disgaea	魔界战记	魔界戦記ディスガイア	Makai Senki Disgaea	1531
makai_tantei_meiousei_o	魔界探侦冥王星O	魔界探偵冥王星O	Makai Tantei Meiousei O	1
makai_toshi_shinjuku	魔界都市〈新宿〉	魔界都市〈新宿〉	Makai Toshi Shinjuku	3
makaimura	魔界村	魔界村	Makaimura	167
make_heroine_ga_oo_sugiru!	败犬女主太多了！	負けヒロインが多すぎる!	Make Heroine Ga Oo Sugiru!	3160
maken_x	魔剑X	魔剣X	Maken X	14
makki_shoujobyou_-lyrical_pop_world's_end-	末期少女病	末期、少女病	Makki Shoujobyou -lyrical Pop World's End-	2
makura_no_danshi	枕男子	枕男子	Makura No Danshi	16
mamayuyu	魔魔勇勇	魔々勇々	Mamayuyu	32
mameya	豆屋	豆屋	Mameya	4
man'in_densha	满淫电车	満淫電車	Man'in Densha	26
manakashi_no_yuri_wa_akaku_somaru	真爱的百合被染成红色	真愛の百合は赤く染まる	Manakashi No Yuri Wa Akaku Somaru	9
manatsu_no_yo_no_inmu	真夏的淫梦	真夏の夜の淫夢	Manatsu No Yo No Inmu	1460
manatsu_no_yoru_no_yuki_monogatari	真夏之夜的雪物语	真夏の夜の雪物語	Manatsu No Yoru No Yuki Monogatari	45
mang-jong	亡种	亡種	Degenerate	86
mangetsu_coffee_ten	满月珈琲店	満月珈琲店	Mangetsu Coffee Ten	35
manta_(maoer_entertainment)	Manta曼塔	Manta曼塔	Manta (Maoer Entertainment)	13
manyuu_hikenchou	魔乳秘剑帖	魔乳秘剣帖	Manyuu Hikenchou	109
maou_2099	魔王2099	魔王2099	Maou 2099	36
maou_haishinchuu!?	魔王、配信中！？	魔王、配信中!?	Maou Haishinchuu!?	3
maou_ni_natta_node_dungeon_tsukutte_jingai_musume_to_honobono_suru	魔王建造地下城转生到异世界建造人外娘的专属乐园	魔王になったので、ダンジョン造って人外娘とほのぼのする	Maou ni Natta node Dungeon Tsukutte Jingai Musume to Honobono Suru	7
maoyuu_maou_yuusha	魔王勇者	魔王勇者	Maoyuu Maou Yuusha	1000
maplestory	冒险岛	メイプルストーリー	MapleStory	1943
maria-sama_ga_miteru	圣母在上	マリア様がみてる	Maria-sama Ga Miteru	3400
marikinonline4	人间online	人間online	MARIKINonline4	2
marine_benefit	东方海惠堂	東方海恵堂	Marine Benefit	33
mario_(series)	超级马里奥（系列）	スーパーマリオ	Super Mario Bros	31176
mario_kart	马里奥赛车	マリオカート	Mario Kart	1888
marvel	漫威	マーベル	Marvel	28977
marvel_rivals	漫威争锋	マーベルライバルズ	Marvel Rivals	7578
marvel_tokon:_fighting_souls	MARVEL斗魂	MARVEL闘魂	Marvel Tokon Fighting Souls	454
marvel_vs._capcom	漫威VS卡普空	マーヴルVSカプコン	Marvel Vs. Capcom	1357
masakiga	舞咲雅	舞咲雅	Masakiga	1
mashin_eiyuuden_wataru	神龙斗士	魔神英雄伝ワタル	Mashin Eiyuuden Wataru	102
mashiroiro_symphony	纯白的交响曲	ましろ色シンフォニー	Mashiro Iro Symphony	455
masou_gakuen_hxh	魔装学园H×H	魔装学園H×H	Masou Gakuen Hxh	242
master_detective_archives:_rain_code	超侦探事件簿	超探偵事件簿レインコード	Master Detective Archives: Rain Code	1151
masterwork_apocalypse	幻书启世录	終末のアーカーシャ	Masterwork Apocalypse	343
matai_toshi	魔胎都市	魔胎都市	Matai Toshi	370
mato_kurenai_yuugekitai:_tokyo_twilight_ghosthunters	魔都红色幽击队	魔都紅色幽撃隊 Tokyo Twilight Ghosthunters	Mato Kurenai Yuugekitai: Tokyo Twilight Ghosthunters	5
mato_seihei_no_slave	魔都精兵的奴隶	魔都精兵のスレイブ	Mato Seihei No Slave	803
matrimelee	新豪血寺一族斗婚-Matrimelee-	新豪血寺一族闘婚-Matrimelee-	Matrimelee	31
mattaku_saikin_no_tantei_to_kitara	最近的侦探真没用	まったく最近の探偵ときたら	Mattaku Saikin No Tantei To Kitara	27
mawaru_penguindrum	回转企鹅罐	輪るピングドラム	Penguindrum	1266
maybe_meant_to_be	偶然成了天生一对	偶然成了天生一対	Maybe Meant To Be	1
mayu_matou	茧，缠身	繭、纏う	Cocoon Entwined	9
maze_bakunetsu_jikuu	MAZE☆爆热时空	MAZE☆爆熱時空	Maze Bakunetsu Jikuu	26
mazinger_(series)	魔神系列	マジンガー	Mazinger (series)	1077
mbs	每日放送	毎日放送	Mbs	3
mcdonald's	麦当劳	マクドナルド	McDonald's	4552
mctcg_yousei_denshou	妖精传承	妖精伝承	Yousei Denshou	7
medalist_(manga)	金牌得主	メダリスト	Medalist	1570
medical_record_book	病案本	病案本	Medical Record Book	12
medium5	五维介质	赤羽	Medium5	556
meet_again_in_the_night	东方夜裳舞	東方夜裳舞	Meet Again In The Night	19
mega_man_(classic)	洛克人（classic）			5453
mega_man_(series)	洛克人	ロックマン	Mega Man	23809
mega_man_battle_network_(series)	洛克人EXE	ロックマンエグゼ	Mega Man Battle Network (Series)	2409
mega_man_legends_(series)	洛克人DASH	ロックマンDASH	Mega Man Legends (series)	2692
mega_man_star_force_(series)	流星洛克人	流星のロックマン	Mega Man Star Force (series)	2128
mega_man_x_(series)	洛克人X	ロックマンX	Mega Man X	5311
mega_man_x_dive	洛克人XDiVE	ロックマンXDiVE	Mega Man X DiVE	1043
mega_man_zero_(series)	洛克人Zero	ロックマンゼロ	Mega Man Zero	4147
mega_man_zx	洛克人ZX	ロックマンZX	Mega Man ZX	3494
megami_kouhosei	女神候补生	女神候補生	Megami Kouhosei	27
megami_magazine	女神杂志	メガミマガジン	Megami Magazine	6323
megami_paradise	女神天国	女神天国	Megami Paradise	111
megami_tensei	女神转生	女神転生	Megami Tensei	888
megami_tensei_ii	女神转生II	女神転生II	Megami Tensei II	23
megami_tensei_juunenshi	女神转生十年史	女神転生十年史	Megami Tensei Juunenshi	2
megane_(irodori)	眼镜(irodori)	眼鏡(irodori)	Megane (Irodori)	2
megas_xlr	超时空机器人传说MEGAS·XLR	メガスXLR	Megas XLR	34
meigetsudo	明月堂	明月堂	Meigetsudo	2
meiji_(brand)	明治制菓	明治製菓	Meiji	182
meiji_hiiro_kitan	明治绯色绮谭	明治緋色綺譚	Meiji Hiiro Kitan	1
meiji_tokyo_renka	明治东亰恋伽	明治東亰恋伽	Meiji Tokyo Renka	48
meikasai	东方名华祭	東方名華祭	Meikasai	21
meikoku_gakuen_jutai_hen	冥刻学园受胎编	冥刻學園受胎編	Meikoku Gakuen Jutai Hen	7
meikyuu_jima	迷宫岛	迷宮島	Kickle Cubicle	2
meikyuu_kenbu	迷宫剑舞	迷宮剣舞	Meikyuu Kenbu	2
meikyuu_kumikyoku	迷宫组曲	迷宮組曲	Meikyuu Kumikyoku	7
meikyuu_monogatari	迷宫物语	迷宮物語	Meikyuu Monogatari	2
meirenyu_de_xiatian	美人鱼的夏天	美人魚的夏天	Meirenyu De Xiatian	1
meishoujo	姪少女	姪少女	Meishoujo	21
meitantei_conan	名侦探柯南	名探偵コナン	Detective Conan	5782
meitantei_precure!	名侦探光之美少女！	名探偵プリキュア!	Star_Detective_Precure!	5019
meitantei_tsuda	名探侦津田	名探偵津田	Meitantei Tsuda	2
melty_blood	月姬格斗	メルティブラッド	Melty Blood	3806
memoirs_in_metheus	米修斯之印	米修斯之印	Memoirs In Metheus	5
memories_of_the_winter_tree	冬日树下的回忆	冬日樹下的回憶	Memories Of The Winter Tree	1
meng_jian_ji	梦间集	夢間集	Meng Jian Ji	6
meng_renjian	梦人间	夢人間	Meng Renjian	10
meng_ta_xue_mi_cheng	梦塔_-_雪谜城	夢塔_-_雪謎城	Meng Ta Xue Mi Cheng	2
mengjing_xia_de_yueding	梦境下的约定	夢境下的約定	Mengjing Xia De Yueding	1
menkai_shazetsu	面会谢绝	面会謝絶	Menkai Shazetsu	2
merc_storia	梅露可物语	メルクストーリア	Merc Storia	1056
meridian_project	子午计划	子午計画	Meridian Project	511
mesu_nie_onna_kyoushi	牝贽女教师	牝贄女教師	Mesu Nie Onna Kyoushi	67
metal_cardbot	炫卡斗士	メタルカードボット	Metal Cardbot	19
metal_gear_(series)	合金装备	メタルギアシリーズ	Metal Gear	4330
