tag	current_zh	ja	en	series	post_count
suou_tatsuya	周防达哉	周防達哉	Suou Tatsuya		497
suou_tsukasa	朱樱司	朱桜司	Suou Tsukasa		344
suou_yuki	周防有希	周防有希	Suou Yuki		667
super-shorty_(girls'_frontline)	超级肖蒂	Super-Shorty	Super-shorty	少女前线	307
super_creek_(umamusume)	超级溪流	スーパークリーク（ウマ娘プリティーダービー）	Super Creek	闪耀!优俊少女	3182
super_sass_(girls'_frontline)	SuperSASS(少女前线)	SuperSASS(ドールズフロントライン)	Super Sass	少女前线	316
super_sonico	超级索尼子	すーぱーそに子	Super Sonico		3710
supply_depot_princess	集积地栖姬	集積地棲姫	Supply Depot Princess		455
sura_(ragnarok_online)	修罗	修羅	Sura	仙境传说	625
surintendante_chevalmarin	海薇玛夫人	シュヴァルマラン婦人	Surintendante Chevalmarin		841
surtr's_golem_(arknights)	巨兽史尔特尔	巨獣史爾特爾	Surtr's Golem	明日方舟	324
surtr_(arknights)	史尔特尔	史爾特爾	Surtr	明日方舟	5310
susato_mikotoba	御琴羽寿沙都	御琴羽寿沙都	Susato Mikotoba		335
sushang_(honkai:_star_rail)	素裳	スショウ	Sushang	崩坏:星穹铁道	504
susie_(deltarune)	苏西	スージィ	Susie		2537
sussurro_(arknights)	苏苏洛	ススーロ	Sussurro	明日方舟	2552
suzi_q	丝吉Q	スージーQ	Suzi Q		575
suzu_(cookie)	SZ姐贵	SZ姉貴	Suzu		698
suzuhara_lulu	铃原露露	鈴原るる	Suzuhara Lulu		2053
suzuhara_lulu_(1st_costume)	铃原露露（初始服装）	鈴原るる(通常)	Suzuhara Lulu		1368
suzuka_gozen_(fate)	铃鹿御前（Fate）	鈴鹿御前（Fate）	Suzuka Gozen		1093
suzuka_gozen_(swimsuit_rider)_(fate)	铃鹿御前（水着）	鈴鹿御前〔サマバケ〕	Suzuka Gozen (swimsuit Rider)		322
suzuka_utako	铃鹿诗子	詩子あーと	Suzuka Utako		285
suzukaze_(kancolle)	凉风（舰队Collection）	涼風（舰队Collection）	Suzukaze		1873
suzuki_(girls_und_panzer)	铃木真莉阿	スズキ（ガールズ&パンツァー）	Suzuki	少女与战车	359
suzuki_hana	铃木羽那	鈴木羽那	Suzuki Hana		839
suzuki_jun	铃木纯	けいおん!!2年生トリオ	Suzuki Jun		675
suzumi_(blue_archive)	守月铃美	守月スズミ	Suzumi	碧蓝档案	1092
suzumiya_haruhi	凉宫春日	涼宮ハルヒ	Suzumiya Haruhi		11075
suzunari_shizuku	铃鸣雫	鈴鳴しずく	Suzunari Shizuku		451
suzuran's_father_(arknights)	铃兰爸爸	鈴蘭爸爸	Suzuran's Father	明日方舟	302
suzuran_(arknights)	舟铃兰	スズラン（アークナイツ）	Suzuran	明日方舟	6810
suzuran_(spring_praise)_(arknights)	铃兰			明日方舟	1259
suzushina_yuriko	铃科百合子	鈴科百合子	Suzushina Yuriko		380
suzutsuki_(kancolle)	凉月（舰队Collection）	涼月（舰队Collection）	Suzutsuki		2292
suzuya_(kancolle)	铃谷	鈴谷（舰队Collection）	Suzuya		9421
suzuya_juuzou	铃屋什造	鈴屋什造	Suzuya Juuzou		293
suzuya_kai_ni_(kancolle)	铃谷改二	鈴谷改二	Suzuya Kai Ni		1480
sv-98_(girls'_frontline)	SV-98(少女前线)	SV-98(ドールズフロントライン)	Sv-98	少女前线	344
svd_(girls'_frontline)	SVD(少女前线)	SVD(ドールズフロントライン)	Svd	少女前线	502
swablu	青绵鸟	チルット	Swablu		1154
swadloon	宝包茧	クルマユ	Swadloon		369
sweep_tosho_(umamusume)	东商变革	スイープトウショウ（ウマ娘プリティーダービー）	Sweep Tosho	闪耀!优俊少女	1861
sweetheart_(omori)	甜心	スイートハート	Sweetheart		598
sweety_(zenless_zone_zero)	红豆（绝区零）	紅豆(ゼンゼロ)	Sweety	绝区零	723
swiftsure_(azur_lane)	确捷	スウィフトシュア	Swiftsure	碧蓝航线	287
swire_(arknights)	诗怀雅	スワイヤー	Swire	明日方舟	1441
sword_maiden	剑之圣女	剣の乙女	Sword Maiden		442
swordsman_(ragnarok_online)	剑士	剣士	Swordsman	仙境传说	700
sylphiette_(mushoku_tensei)	希露菲叶特	シルフィエット	Sylphiette	无职转生	1760
sylus_(love_and_deepspace)	秦彻	シン（恋と深空）	Sylus	恋与深空	1174
sylvain_jose_gautier	希尔凡	シルヴァン=ジョゼ=ゴーティエ	Sylvain Jose Gautier		1117
sylveon	仙子精灵	ニンフィア	Sylveon		4204
symboli_rudolf_(emperor's_path)_(umamusume)	鲁道夫象征（emperor's path）	ロード・オブ・エンペラー	Symboli Rudolf (emperor's Path)	闪耀!优俊少女	1234
syuen_(nikke)	舒恩	シュエン	Syuen		683
t-head_admiral	T督	Tヘッド	T-head Admiral		2573
t.m._opera_o_(umamusume)	好歌剧	テイエムオペラオー（ウマ娘プリティーダービー）	T.m. Opera O	闪耀!优俊少女	4014
ta-class_battleship	塔级	戦艦タ級	Ta-class Battleship		1201
tachibana_arisu	橘有栖	橘ありす	Tachibana Arisu		5099
tachibana_kimika	橘希实香	橘希実香	Tachibana Kimika		446
tachibana_makoto	橘真琴	橘真琴	Tachibana Makoto		669
tachibana_miya	橘美也	橘美也	Tachibana Miya		556
tachibana_sherry	橘雪莉	橘シェリー	Tachibana Sherry		2702
tachibana_taki	立花泷	立花滝	Tachibana Taki		582
tachikawa_ayaka	立川绚香	立川絢香	Tachikawa Ayaka		336
tadano_hitohito	只野仁人	只野仁人	Tadano Hitohito		518
taigei_(kancolle)	大鲸	大鯨	Taigei		2670
taihou_(azur_lane)	大凤（碧蓝航线）	大鳳（アズールレーン）	Taihou	碧蓝航线	6428
taihou_(forbidden_fruit)_(azur_lane)	毒苹果	禁断の宴(アズールレーン)	Taihou (forbidden Fruit)	碧蓝航线	813
taihou_(fun_on_the_baize)_(azur_lane)	绮愿良宵	羅紗遊情	Taihou (fun On The Baize)	碧蓝航线	476
taihou_(kancolle)	大凤（舰队Collection）	大鳳（舰队Collection）	Taihou		3305
taihou_(phoenix's_spring_song)_(azur_lane)	凤鸣春晓	春の暁に鳳歌う	Taihou (phoenix's Spring Song)	碧蓝航线	300
taihou_(sweet_time_after_school)_(azur_lane)	放学后的甜蜜时光	下校後の甘い時間	Taihou (sweet Time After School)	碧蓝航线	408
taihou_(temptation_on_the_sea_breeze)_(azur_lane)	潮风的吸引	潮風のテンプテーション	Taihou (temptation On The Sea Breeze)	碧蓝航线	411
taiki_shuttle_(umamusume)	大树快车	タイキシャトル（ウマ娘プリティーダービー）	Taiki Shuttle	闪耀!优俊少女	1875
tailred	红马尾	テイルレッド	Tailred		287
tails_(sonic)	塔尔斯	テイルス	Tails		1811
taira_no_fumikado	平文门	平文門	Taira No Fumikado		286
taira_no_kagekiyo_(fate)	平景清(Fate)	源義経(Fate)	Taira No Kagekiyo		333
tairitsu_(arcaea)	对立	対立	Tairitsu	韵律源点	693
taisa_(cookie)	TIS姉贵	いとうあさこ	Taisa		496
taishakuten_(onmyoji)	帝释天（阴阳师）	帝釈天（陰陽師）	Taishakuten	阴阳师	299
taiwan_(hetalia)	台湾	気苦労娘	Taiwan		511
taiyou_(kancolle)	大鹰	大鷹(艦隊これくしょん)	Taiyou		434
takafuji_kako	鹰富士茄子	鷹富士茄子	Takafuji Kako		704
takagaki_kaede	高垣枫	高垣楓	Takagaki Kaede		4647
takagi-san	高木同学	高木さん	Takagi-san		1923
takagi_(tansuke)	高木命	高木さん（tansuke）	Takagi		352
takahara_hairi	鹰原羽依里	鷹原羽依裏	Takahara Hairi		316
takakamo_shizuno	高鸭稳乃	高鴨穏乃	Takakamo Shizuno		376
takakura_himari	高仓阳毬	高倉陽毬	Takakura Himari		835
takakura_ken_(dandadan)	高仓健（胆大党）	高倉健（ダンダダン）	Takakura Ken	胆大党	3196
takakura_ken_(transformed)_(dandadan)	高仓健（transformed·胆大党）	高倉健（transformed·ダンダダン）	Takakura Ken (transformed)	胆大党	1191
takakura_shouma	高仓晶马	高倉晶馬	Takakura Shouma		353
takamachi_nanoha	高町奈叶	高町なのは	Takamachi Nanoha		8317
takamaki_ann	高卷杏	高巻杏	Takamaki Ann		2934
takamatsu_tomori	高松灯	高松灯	Takamatsu Tomori		4956
takamine_midori	高峰翠	高峰翠	Takamine Midori		483
takamine_takane	鹰峰高岭	鷹峰高嶺	Takamine Takane		296
takamura_yui	篁唯依	篁唯依	Takamura Yui		313
takanami_(kancolle)	高波	高波	Takanami		1264
takanashi_kiara	小鸟游琪亚拉	小鳥遊キアラ	Takanashi Kiara		10489
takanashi_souta	小鸟游宗太	小鳥遊宗太	Takanashi Souta		335
takane_(blue_archive)	三善贵音	三善タカネ	Takane	碧蓝档案	623
takane_manaka	高岭爱花	高嶺愛花	Takane Manaka		527
takano_miyo	鹰野三四	鷹野三四	Takano Miyo		561
takao_(azur_lane)	高雄（碧蓝航线）	高雄（アズールレーン）	Takao	碧蓝航线	2768
takao_(beach_rhapsody)_(azur_lane)	沙滩狂想曲（夏日泳装）	砂浜ラプソディ	Takao (beach Rhapsody)	碧蓝航线	495
takao_(full_throttle_charmer)_(azur_lane)	至高焦点（疾速狂热）	魅惑のフルドライブ	Takao (full Throttle Charmer)	碧蓝航线	331
takao_(kancolle)	高雄（舰队Collection）	高雄（舰队Collection）	Takao		5637
takasaka_juri	高坂朱里	高坂朱里	Takasaka Juri		409
takasaka_kouki	高坂攻辉	高坂攻輝	Takasaka Kouki		336
takashima_zakuro	由岐柘榴	高島ざくろ	Takashima Zakuro		353
takasu_ryuuji	高须龙儿	高須竜児	Takasu Ryuuji		704
takasugi_shinsaku_(fate)	高杉晋作（Fate）	高杉晋作（Fate）	Takasugi Shinsaku		493
takasugi_shinsuke	高杉晋助	高杉晋助	Takasugi Shinsuke		578
takatsuki_yayoi	高槻弥生	高槻やよい	Takatsuki Yayoi		4482
takayama_haruka	高山春香	高山春香	Takayama Haruka		406
takayama_sayoko	高山纱代子	高山紗代子	Takayama Sayoko		697
takebe_saori	武部沙织	武部沙織	Takebe Saori		4050
takei_hisa	竹井久	竹井久	Takei Hisa		783
takemi_tae	武见妙	たけみたえ	Takemi Tae		756
takenouchi_sora	武之内空	武之内空	Takenouchi Sora		489
takeya_yuki	丈枪由纪	丈槍由紀	Takeya Yuki		389
takino_tomo	泷野智	滝野智	Takino Tomo		536
takitsubo_rikou	泷壶理后	滝壺理後	Takitsubo Rikou		282
takoluka	章鱼露卡	たこルカ	Takoluka		1036
talulah_(arknights)	塔露拉	タルラ	Talulah	明日方舟	1132
tama_(kancolle)	多摩	多摩	Tama		1902
tamada_tamaki	玉田环	玉田環	Tamada Tamaki		467
tamaki_kotatsu	环古达	環古達	Tamaki Kotatsu		414
tamamo_cross_(umamusume)	玉藻十字	タマモクロス（ウマ娘プリティーダービー）	Tamamo Cross	闪耀!优俊少女	4138
tamamo_jk_(fate)	玉藻JK	ギャル狐	Tamamo Jk		283
tamamo_no_mae_(fate)	玉藻前（Fate）	玉藻の前（Fate）	Tamamo No Mae		9145
tamamo_no_mae_(swimsuit_lancer)_(fate)	玉藻前（泳装Lancer·Fate）	玉藻の前（泳装Lancer·Fate）	Tamamo No Mae (swimsuit Lancer)		2296
tamanami_(kancolle)	玉波	玉波	Tamanami		313
tamatsukuri_misumaru	玉造魅须丸	玉造魅須丸	Tamatsukuri Misumaru		543
tamba_akari	丹羽灯莉	丹羽灯莉	Tamba Akari		396
tamura_manami	田村麻奈实	田村麻奈実	Tamura Manami		362
tan_yang_(kancolle)	丹阳	丹陽	Tan Yang		426
tanaka_mako	田中真子	田中真子	Tanaka Mako		369
tanaka_mamimi	田中摩美美	田中摩美々	Tanaka Mamimi		1823
tanamachi_kaoru	棚町薰	棚町薫	Tanamachi Kaoru		835
tanemura_koyori	种村小依	種村小依	Tanemura Koyori		346
tang_keke	唐可可	唐可可	Tang Keke		1779
tang_sanzang	唐三藏	三蔵法師	Tang Sanzang		336
tangtang_(arknights)	汤汤	湯湯	Tangtang	明日方舟	840
tanigawa_kanna	谷川柑菜	谷川柑菜	Tanigawa Kanna		449
tanigawa_ruri	谷川瑠璃	谷川瑠璃	Tanigawa Ruri		493
tanikaze_(kancolle)	谷风	谷風	Tanikaze		963
