tag	current_zh	ja	en	series	post_count
pantalone_(genshin_impact)	潘塔罗涅	パンタローネ（原神）	Pantalone	原神	313
panty_(psg)	潘蒂	アナーキー・パンティ	Panty		3358
papyrus_(arknights)	莎草	パピルス(アークナイツ)	Papyrus	明日方舟	327
pardofelis	帕朵菲莉丝	パルドフェリス	Pardofelis		864
parvati_(fate)	帕尔瓦蒂	パールヴァティー（Fate）	Parvati		362
passenger_(arknights)	异客	パッセンジャー(アークナイツ)	Passenger	明日方舟	319
passionlip_(fate)	帕逊莉普	パッションリップ	Passionlip		1757
patamon	巴达兽	パタモン	Patamon		500
patchouli_knowledge	帕秋莉·诺蕾姬	パチュリー・ノーレッジ	Patchouli Knowledge		38698
pearl_fey	绫里春美	綾裏春美	Pearl Fey		331
pecorine_(princess_connect!)	佩可莉姆	ペコリーヌ	Pecorine	公主连结	3529
pekomama	佩可妈妈	ぺこらママ	Pekomama		2531
pela_(honkai:_star_rail)	佩拉	ペラゲヤ・セルゲーヴナ	Pela	崩坏:星穹铁道	290
penance_(arknights)	斥罪	ペナンス	Penance	明日方舟	1254
peni_parker	潘妮·帕克	ペニー・パーカー	Peni Parker		1091
penny_(pokemon)	佩妮	ボタン	Penny	宝可梦	1736
pepe_(arknights)	佩佩（明日方舟）	ペペ（アークナイツ）	Pepe	明日方舟	603
pepperoni_(girls_und_panzer)	佩佩罗尼	ペパロニ	Pepperoni	少女与战车	1995
percival_(fate)	珀西瓦尔	パーシヴァル（Fate）	Percival		333
perfect_start_(infinity_nikki)	满分出发	百点満点の出発	Perfect Start	无限暖暖	943
perfumer_(arknights)	调香师	パフューマー	Perfumer	明日方舟	477
perlica_(arknights)	佩丽卡	ペリカ	Perlica	明日方舟	2587
perona	佩罗娜	ペローナ	Perona		1590
perseus_(azur_lane)	英仙座	パーシュース	Perseus	碧蓝航线	838
perseus_(unfamiliar_duties)_(azur_lane)	生疏的执勤时间	ナーセリー勤務タイム	Perseus (unfamiliar Duties)	碧蓝航线	396
pesci	贝西	ペッシ	Pesci		333
petra_macneary	佩托拉	ペトラ=マクネアリー	Petra Macneary		688
phainon_(flame_reaver)_(honkai:_star_rail)	盗火行者	フレイムスティーラー	Phainon (flame Reaver)	崩坏:星穹铁道	726
phainon_(honkai:_star_rail)	白厄	ファイノン	Phainon	崩坏:星穹铁道	10321
phainon_(khaslana)_(honkai:_star_rail)	卡厄斯兰那	卡厄斯蘭那	Phainon (khaslana)	崩坏:星穹铁道	1329
phantom_(arknights)	傀影	ファントム(アークナイツ)	Phantom	明日方舟	577
pharah_(overwatch)	法拉	ファラ（オーバーウォッチ2）	Pharah	守望先锋2	1167
phoebe_(wuthering_waves)	菲比（鸣潮）	フィービー（鸣潮）	Phoebe	鸣潮	3126
phoenix_wright	成步堂龙一	成歩堂龍一	Phoenix Wright		1687
phosphophyllite	磷叶石	フォスフォフィライト	Phosphophyllite		2639
piccolo	比克	ピッコロ	Piccolo		1147
pichu	皮丘	ピチュー	Pichu		1841
pieck_finger	皮克·芬格尔	ピーク・フィンガー	Pieck Finger		306
piers_(pokemon)	欧尼奥	ネズ	Piers	宝可梦	1842
pikachu	皮卡丘	ピカチュウ	Pikachu		17433
pina_(blue_archive)	朝比奈菲娜	朝比奈フィーナ	Pina	碧蓝档案	294
pinecone_(arknights)	松果	松果	Pinecone	明日方舟	479
ping_hai_(azur_lane)	平海（碧蓝航线）	平海(アズールレーン)	Ping Hai	碧蓝航线	651
pinkie_pie	萍琪派	萍琪派	Pinkie Pie		668
pipimi	皮皮美	ピピ美	Pipimi		1805
piplup	波加曼	ポッチャマ	Piplup		3608
pit_(kid_icarus)	皮特	ピット	Pit		2160
pkp_(girls'_frontline)	PKP(少女前线)	PKP(ドールズフロントライン)	Pkp	少女前线	289
plain_doll	人偶	人形（plain）	Plain Doll		974
plana_(blue_archive)	普拉娜	普拉娜	Plana	碧蓝档案	8389
platelet_(hataraku_saibou)	血小板	血小板くん	Platelet	工作细胞	807
platinum_(arknights)	白金（明日方舟）	白金（アークナイツ）	Platinum	明日方舟	1430
plume_(arknights)	翎羽	プリュム	Plume	明日方舟	404
plymouth_(azur_lane)	普利茅斯	プリマス	Plymouth	碧蓝航线	370
pneuma_(xenoblade)	普纽玛	プネウマ	Pneuma		1162
pochita_(chainsaw_man)	电锯恶魔（电锯人）	ポチタ	Pochita	电锯人	2521
podenco_(arknights)	波登可	ポデンコ	Podenco	明日方舟	361
pola_(azur_lane)	波拉（碧蓝航线）	ポーラ(アズールレーン)	Pola	碧蓝航线	607
pola_(kancolle)	波拉（舰队Collection）	ポーラ（舰队Collection）	Pola		2474
pola_(seaside_coincidence)_(azur_lane)	水边的事故？	水辺のハプニング?	Pola (seaside Coincidence)	碧蓝航线	318
pollux_(fate)	波鲁克斯	ポルクス	Pollux		423
pom-pom_(honkai:_star_rail)	帕姆	パム	Pom-pom	崩坏:星穹铁道	1231
pomni_(the_amazing_digital_circus)	波姆妮	ポムニ	Pomni	神奇数字马戏团	2306
poporing	波波利	ポポリン	Poporing		317
popplio	球球海狮	アシマリ	Popplio		1744
popukar_(arknights)	泡普卡	ポプカル	Popukar	明日方舟	342
popuko	波普子	ポプ子	Popuko		2188
poring	波利	ポリン	Poring		1653
portgas_d._ace	波特卡斯·D·艾斯	ポートガス・D・エース	Portgas D. Ace		2130
portland_(azur_lane)	波特兰（碧蓝航线）	ポートランド(アズールレーン)	Portland	碧蓝航线	334
power_(chainsaw_man)	帕瓦	パワー（チェンソーマン）	Power	电锯人	6689
pozyomka_(arknights)	鸿雪	パゼオンカ(アークナイツ)	Pozyomka	明日方舟	926
ppk_(girls'_frontline)	PPK(少女前线)	PPK(ドールズフロントライン)	Ppk	少女前线	370
pramanix_(arknights)	初雪（明日方舟）	初雪（アークナイツ）	Pramanix	明日方舟	1710
pramanix_the_prerita_(arknights)	圣聆初雪	聖聆初雪	Pramanix The Prerita	明日方舟	340
