tag	current_zh	ja	en	series	post_count
3.1-tan	大婆样	大婆様	3.1-tan		591
6_(reverse:1999)	重返未来6	6(リバース:1999)	6	重返未来1999	446
9a-91_(girls'_frontline)	9A-91(少女前线)	9A-91(ドールズフロントライン)	9a-91	少女前线	778
a-chan_(hololive)	友人A	友人A	A-chan		935
aa-12_(girls'_frontline)	AA-12(少女前线)	AA-12(ドールズフロントライン)	Aa-12	少女前线	739
aak_(arknights)	阿（明日方舟）	ア(アークナイツ)	Aak	明日方舟	561
aang	安昂	安昂	Aang		550
abarai_renji	阿散井恋次	阿散井恋次	Abarai Renji		442
abby_(wuthering_waves)	阿布	阿布	Abby	鸣潮	774
abe_nana	安部菜菜	安部菜々	Abe Nana		1487
abigail_williams_(fate)	阿比盖尔	アビゲイル・ウィリアムズ	Abigail Williams		12710
abigail_williams_(festival_outfit)_(fate)	英灵祭装（Fate）	英霊祭装（Fate）	Abigail Williams (festival Outfit)		378
abigail_williams_(first_ascension)_(fate)	阿比盖尔·威廉姆斯				3675
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate)	阿比盖尔·威廉斯（泳装Foreigner）	アビゲイル・ウィリアムズ(水着)（三次再临）	Abigail Williams (swimsuit Foreigner) (third Ascension)		1115
abigail_williams_(third_ascension)_(fate)	阿比盖尔·威廉斯				1091
abigail_williams_(traveling_outfit)_(fate)	英灵旅装（Fate）	英霊紀行（旅行装·Fate）	Abigail Williams (traveling Outfit)		1135
absinthe_(arknights)	苦艾	アブサント(アークナイツ)	Absinthe	明日方舟	360
abukuma_(kancolle)	阿武隈	阿武隈	Abukuma		2371
abukuma_kai_ni_(kancolle)	阿武隈改二	阿武隈改二	Abukuma Kai Ni		745
abyssal_admiral_(kancolle)	深海提督	深海提督	Abyssal Admiral		535
acerola_(pokemon)	阿塞萝拉	阿塞蘿拉	Acerola	宝可梦	1405
acheron_(honkai:_star_rail)	黄泉	黄泉	Acheron	崩坏:星穹铁道	6779
achilles_(fate)	阿喀琉斯	アキレウス（Fate）	Achilles		965
acolyte_(ragnarok_online)	服事	アコ（ラグナロクオンライン）	Acolyte	仙境传说	1058
adachi_rei	足立零	足立レイ	Adachi Rei		7802
