tag	current_zh	ja	en	post_count
icchi_banketsu	一血卍杰-ONLINE-	一血卍傑-ONLINE-	Icchi Banketsu	18
icey_(game)	艾希	艾希	Icey (game)	67
ichigo_ichie_(mindwave)	一期一会	一期一会	Ichigo Ichie (Mindwave)	1
ichigo_mashimaro	草莓棉花糖	苺ましまろ	Ichigo Mashimaro	1325
ichigokuruiza	一极累坐	一極累坐	Ichigokuruiza	5
ichiyaku_(vocaloid)	一龠	一龠	Ichiyaku (vocaloid)	1
iconic_field	偶像战域	偶像戦域	Iconic Field	11
idaten_jump	韦駄天翔	韋駄天翔	Idaten Jump	1
idconnect+	超异界通信+	超異界通信+	IDConnect+	22
idemitsu_(gas_station)	出光兴产	出光興産	Idemitsu (Gas Station)	6
identity_v	第五人格	Identity V	Identity V	3981
idol_incidents	偶像事变	アイドル事変	Idol Incidents	10
idolmaster	偶像大师	アイドルマスター	THE iDOLM@STER	285815
idolmaster_(classic)	偶像大师	765プロ	The Idolmaster	44431
idolmaster_2	偶像大师2	アイドルマスター2	Idolmaster 2	2410
idolmaster_cinderella_girls	偶像大师灰姑娘女孩	アイドルマスターシンデレラガールズ	imas_cg	136416
idolmaster_cinderella_girls_starlight_stage	偶像大师灰姑娘女孩：星光舞台	スターライトステージ	Idolmaster Cinderella Girls Starlight Stage	16322
idolmaster_million_live!	偶像大师百万现场	アイドルマスターミリオンライブ!	THE IDOLM@STER MILLION LIVE!	33226
idolmaster_million_live!_theater_days	偶像大师 百万人演唱会！剧场时光	アイドルマスターミリオンライブ!シアターデイズ	Idolmaster Million Live! Theater Days	14336
idolmaster_shiny_colors	偶像大师闪耀色彩	アイドルマスターシャイニーカラーズ	Idolmaster Shiny Colors	45904
idolmaster_shiny_colors_hazuki's_shinography	事务的光空记录	事務的光空記録	idolmaster_shiny_colors_jimuteki_shinography	8
idolmaster_side-m	偶像大师SideM	アイドルマスターSideM	SideM	4657
if_i_had_known_earlier_that_boys_can_also_be_sexually_assaulted	杰哥不要	如果早知道男生也会被性侵	If I Had Known Earlier That Boys Can Also Be Sexually Assaulted	3
ifuudoudou_(vocaloid)	威风堂堂	威風堂々	Ifuudoudou (vocaloid)	18
igai:_the_play_dead/alive	异骸	異骸	Igai: The Play Dead/alive	1
ignat_no_hanayome	伊谷纳多的新娘	イグナートの花嫁	Ignat No Hanayome	21
ijiranaide_nagatoro-san	不要欺负我，长瀞同学	イジらないで、長瀞さん	Ijiranaide Nagatoro-san	2458
ikkitousen	一骑当千	一騎当千	Ikkitousen	3170
ikkitousen_dragon_destiny	一骑当千Dragon_Destiny	一騎当千Dragon_Destiny	Ikkitousen Dragon Destiny	141
ikkitousen_great_guardians	一骑当千Great_Guardians	一騎当千Great_Guardians	Ikkitousen Great Guardians	181
ikkyuu_nyuukon	一求乳魂	一求乳魂	Ikkyuu Nyuukon	2
ikoku_nikki	违国日记	違国日記	Ikoku Nikki	19
ikusa_megami	战女神	戦女神	Ikusa Megami	1
ikusa_megami_(series)	战女神	戦女神	Ikusa Megami (series)	37
ikusa_megami_verita	战女神VERITA	戦女神VERITA	Ikusa Megami Verita	16
ikusa_megami_zero	战女神ZERO	戦女神ZERO	Ikusa Megami Zero	9
illusion_connect	梦境链接	イリュージョンコネクト	Illusion Connect	61
ima_made_ichido_mo_onna_atsukaisareta_koto_ga_nai_jokishi_wo_onna_atsukai_suru	女汉子骑士也想谈恋爱！	今まで一度も女扱いされたことがない女騎士を女扱いする漫画	Ima Made Ichido Mo Onna Atsukaisareta Koto Ga Nai Jokishi Wo Onna Atsukai Suru	7
immaterial_and_missing_power	东方萃梦想	東方萃夢想	Immaterial and Missing Power	173
imouto_choukyou_nikki	妹调教日记	妹調教日記	Imouto Choukyou Nikki	16
imouto_jiru	妹汁	妹汁	Imouto Jiru	16
imperishable_night	东方永夜抄	東方永夜抄	Imperishable Night	1212
imsa_gt_championship	IMSAGT选手权	IMSAGT選手権	IMSA GT Championship	23
in_love_with_an_idiot	你却爱着一个他	你却愛着一個他	In Love With An Idiot	16
inabakumori	稻叶昙	稲葉曇	Inaba Kumori	339
inazuma_eleven	闪电十一人	イナズマイレブン	Inazuma Eleven	4763
inazuma_eleven_(series)	闪电十一人系列	イナズマイレブン	Inazuma Eleven (series)	12089
inazuma_eleven_go	闪电十一人GO	イナズマイレブンGO	Inazuma Eleven Go	7186
inazuma_eleven_go_chrono_stone	闪电十一人GO 时空之石	イナズマイレブンGOクロノ・ストーン	Inazuma Eleven Go Chrono Stone	1731
inception	盗梦空间	盗夢空間	Inception	42
includeore	俺++	俺++	Includeore	4
indie_virtual_youtuber	个人势	個人勢	Indie Virtual Youtuber	87888
infernal_affairs	无间道	無間道	Infernal Affairs	4
infinite_blade_pavilion	东方鬼葬剑	東方鬼葬剣	Infinite Blade Pavilion	55
infinity_conflict	无尽战记	無尽戦記	Infinity Conflict	1
infinity_nikki	无限暖暖	無限暖暖	Infinity Nikki	6056
infinity_train	无尽列车	インフィニティトレイン	Infinity Train	82
ingoku_danchi	淫狱团地	淫獄団地	Ingoku Danchi	16
initial_d	头文字D	頭文字D	Initial D	510
initial_d_(2005_movie)	头文字D(电影)	頭文字D(電影)	Initial D	1
injuu_daikessen	淫兽大决战	淫獣大決戦	Injuu Daikessen	1
injuu_gakuen_la_blue_girl	淫兽学园La☆BlueGirl	淫獣学園La☆BlueGirl	Injuu Gakuen La Blue Girl	37
injuu_kangoku	淫兽舰狱	淫獣艦獄	Injuu Kangoku	24
inma_ninpouchou	淫魔忍法帖	淫魔忍法帖	Inma Ninpouchou	1
inmai_baby	淫妹BABY	淫妹BABY	Inmai Baby	6
inran_shinsatsushitsu	淫乱诊察室	淫乱診察室	Inran Shinsatsushitsu	20
inside_job	阴谋论办公室	陰謀論のオシゴト	Inside Job	32
internet_survivor	互联网幸存者	インターネットサバイバー	Internet Survivor	120
interview_with_the_vampire	夜访吸血鬼	夜訪吸血鬼	Interview With The Vampire	28
inu-hime_(song)	犬姬(INU-HIME)	犬姫(INU-HIME)	Inu-hime	1
inu-oh	犬王	犬王	InuOh	4
inu_x_boku_ss	妖狐×仆SS	妖狐×僕SS	Inu x Boku SS	843
inuyasha	犬夜叉	犬夜叉	Inuyasha	3181
invasion_of_astro-monster	怪兽大战争	怪獣大戦争	Invasion Of Astro-monster	1
invincible_(series)	无敌少侠	インビンシブル	Invincible	1332
ip_man_(movie)	叶问	葉問	Ip Man (movie)	4
ipass_(yi_ka_tong)	一卡通	一卡通	iPASS	28
ipstar	潮玩星球	潮玩星球	Ipstar	96
iroha-ya	以吕波屋	以呂波屋	Iroha-ya	1
irokoi_sakura	色恋樱	色恋桜	Irokoi Sakura	3
iron_saga	机动战队	機動戦隊アイアンサーガ	Iron Saga	935
irozuku_sekai_no_ashita_kara	来自多彩世界的明天	色づく世界の明日から	Iroduku	102
isegye_idol	Isegye Idol		Isegye Idol	2054
isekai_goumonhime	异世界拷问姬	異世界拷問姫	Isekai Goumonhime	20
isekai_kenkokuki	异世界建国记	異世界建国記	Isekai Kenkokuki	1
isekai_konyoku_monogatari	异世界混浴物语	異世界混浴物語	Isekai Konyoku Monogatari	5
isekai_ni_tobasaretara_papa_ni_nattandaga	骑士的公主养成	異世界に飛ばされたらパパになったんだが	Idle Princess	44
isekai_ojisan	异世界舅舅	異世界おじさん	Isekai Ojisan	384
isekai_ommitsu_boukenki	异世界隐密冒险记	異世界隠密冒険記	Isekai Ommitsu Boukenki	1
isekai_quartet	异世界四重奏	異世界かるてっと	Isekai Quartet	128
isekai_rakuten	异世快乐天	異世快楽天	Isekai Rakuten	21
